,dt,temp,pressure,humidity,temp_min,temp_max,wind_speed,wind_deg,description,icon,main
0,1523478600,44.6,1008,93,44.6,44.6,12.75,70,light intensity driz,09n,Drizzle
1,1523484000,44.6,1008,100,44.6,44.6,13.87,70,light intensity driz,09n,Drizzle
2,1523487600,44.6,1007,100,44.6,44.6,11.41,70,light intensity driz,09n,Drizzle
3,1523491200,44.6,1007,100,44.6,44.6,14.99,80,light intensity driz,09n,Drizzle
4,1523494800,44.6,1007,93,44.6,44.6,13.87,80,light intensity driz,09n,Drizzle
5,1523498400,44.6,1006,93,44.6,44.6,16.11,90,light intensity driz,09n,Drizzle
6,1523502000,44.6,1006,93,44.6,44.6,14.99,80,light intensity driz,09n,Drizzle
7,1523505600,43.43,1006,93,42.8,44.6,14.99,70,light intensity driz,09n,Drizzle
8,1523509200,42.8,1006,100,42.8,42.8,12.75,70,light intensity driz,09n,Drizzle
9,1523512800,42.8,1005,100,42.8,42.8,10.29,70,light intensity driz,09d,Drizzle
10,1523516400,42.8,1006,100,42.8,42.8,11.41,70,light intensity driz,09d,Drizzle
11,1523520000,43.57,1006,93,42.8,44.6,11.41,80,light intensity driz,09d,Drizzle
12,1523523600,44.6,1006,93,44.6,44.6,10.29,90,light intensity driz,09d,Drizzle
13,1523527200,44.6,1006,100,44.6,44.6,9.17,80,light intensity driz,09d,Drizzle
14,1523530800,44.6,1006,93,44.6,44.6,10.29,80,light intensity driz,09d,Drizzle
15,1523534400,44.6,1006,93,44.6,44.6,10.29,70,light intensity driz,09d,Drizzle
16,1523538000,44.6,1006,100,44.6,44.6,11.41,80,light intensity driz,09d,Drizzle
17,1523541600,44.6,1006,93,44.6,44.6,10.29,70,mist,50d,Mist
18,1523545200,44.6,1005,93,44.6,44.6,9.17,60,mist,50d,Mist
19,1523548800,44.6,1005,93,44.6,44.6,10.29,60,mist,50d,Mist
20,1523552400,44.6,1005,93,44.6,44.6,10.29,60,mist,50d,Mist
21,1523556000,44.6,1005,93,44.6,44.6,9.17,60,mist,50d,Mist
22,1523559600,44.6,1005,93,44.6,44.6,9.17,60,mist,50d,Mist
23,1523563200,44.6,1005,93,44.6,44.6,8.05,50,broken clouds,04n,Clouds
24,1523566800,44.6,1005,93,44.6,44.6,8.05,60,light intensity driz,09n,Drizzle
25,1523570400,44.6,1005,93,44.6,44.6,9.17,50,light intensity driz,09n,Drizzle
26,1523574000,44.6,1005,93,44.6,44.6,6.93,50,light intensity driz,09n,Drizzle
27,1523577600,44.6,1005,93,44.6,44.6,9.17,60,light intensity driz,09n,Drizzle
28,1523581200,44.6,1005,93,44.6,44.6,8.05,60,light intensity driz,09n,Drizzle
29,1523584800,44.6,1005,93,44.6,44.6,6.93,40,light intensity driz,09n,Drizzle
