,dt,temp,pressure,humidity,temp_min,temp_max,wind_speed,wind_deg,description,icon,main
30,1523586600,43.86,1005,100,42.8,44.6,6.93,40,light intensity driz,09n,Drizzle
31,1523592000,43.97,1005,100,42.8,44.6,5.82,20,light intensity driz,09n,Drizzle
32,1523595600,43.97,1005,100,42.8,44.6,8.05,30,light intensity driz,09n,Drizzle
33,1523599200,42.8,1005,100,42.8,42.8,6.93,20,light intensity driz,09d,Drizzle
34,1523601000,42.8,1005,100,42.8,42.8,8.05,10,light intensity driz,09d,Drizzle
35,1523606400,42.8,1006,100,42.8,42.8,9.17,30,light intensity driz,09d,Drizzle
36,1523608200,43.72,1006,100,42.8,44.6,6.93,40,light intensity driz,09d,Drizzle
37,1523611800,44.6,1006,93,44.6,44.6,5.82,50,light intensity driz,09d,Drizzle
38,1523631600,47.32,1007,93,46.4,48.2,8.05,160,broken clouds,04d,Clouds
39,1523635200,48.43,1008,93,46.4,50.0,6.93,160,light intensity driz,09d,Drizzle
40,1523638800,47.57,1008,93,46.4,48.2,4.7,140,light intensity driz,09d,Drizzle
41,1523642400,48.72,1008,93,46.4,50.0,5.82,130,broken clouds,04d,Clouds
42,1523646000,45.52,1009,93,44.6,46.4,10.29,120,mist,50d,Mist
43,1523649600,45.52,1009,93,44.6,46.4,6.93,130,mist,50n,Mist
44,1523653200,45.52,1010,100,44.6,46.4,6.93,130,broken clouds,04n,Clouds
45,1523656800,46.42,1010,100,44.6,48.2,6.93,130,broken clouds,04n,Clouds
46,1523660400,46.92,1011,93,44.6,48.2,4.7,150,broken clouds,04n,Clouds
47,1523664000,46.4,1011,87,46.4,46.4,4.7,170,broken clouds,04n,Clouds
48,1523667600,47.32,1011,81,46.4,48.2,10.29,210,Sky is Clear,01n,Clear
49,1523671200,46.4,1011,75,46.4,46.4,5.82,170,Sky is Clear,01n,Clear
50,1523673000,46.4,1011,75,46.4,46.4,8.05,200,Sky is Clear,01n,Clear
51,1523678400,43.32,1011,93,41.0,44.6,6.93,150,Sky is Clear,01n,Clear
52,1523680200,44.17,1011,93,41.0,46.4,5.82,160,Sky is Clear,01n,Clear
53,1523685600,43.74,1012,93,41.0,46.4,4.7,120,proximity shower rai,09d,Rain
54,1523687400,44.91,1012,93,42.8,46.4,6.93,120,proximity shower rai,09d,Rain
55,1523692800,51.8,1012,81,51.8,51.8,12.75,150,broken clouds,04d,Clouds
56,1523696400,51.8,1012,81,51.8,51.8,11.41,150,light intensity show,09d,Rain
57,1523698200,51.06,1013,87,50.0,51.8,13.87,150,light intensity show,09d,Rain
58,1523703600,51.8,1013,81,51.8,51.8,16.11,160,light intensity show,09d,Rain
59,1523705400,53.6,1013,76,53.6,53.6,14.99,140,broken clouds,04d,Clouds
60,1523709000,53.92,1013,81,51.8,55.4,17.22,150,broken clouds,04d,Clouds
61,1523712600,53.91,1013,81,51.8,55.4,16.11,140,broken clouds,04d,Clouds
62,1523716200,52.86,1012,81,51.8,53.6,18.34,140,broken clouds,04d,Clouds
63,1523719800,52.86,1012,76,51.8,53.6,16.11,140,broken clouds,04d,Clouds
64,1523727000,52.81,1012,76,51.8,53.6,12.75,140,scattered clouds,03d,Clouds
65,1523728800,52.97,1011,76,51.8,53.6,12.75,140,broken clouds,04d,Clouds
66,1523732400,49.12,1011,87,48.2,50.0,13.87,140,broken clouds,04d,Clouds
67,1523734200,49.26,1011,87,48.2,50.0,12.75,140,broken clouds,04n,Clouds
68,1523739600,48.22,1010,93,46.4,50.0,10.29,130,broken clouds,04n,Clouds
69,1523743200,47.32,1010,93,46.4,48.2,10.29,130,broken clouds,04n,Clouds
70,1523746800,49.12,1009,87,48.2,50.0,14.99,120,broken clouds,04n,Clouds
71,1523750400,48.22,1008,93,46.4,50.0,11.41,130,broken clouds,04n,Clouds
72,1523752200,48.52,1008,100,46.4,50.0,11.41,120,broken clouds,04n,Clouds
73,1523757600,47.32,1007,93,46.4,48.2,16.11,140,broken clouds,04n,Clouds
74,1523761200,47.32,1006,93,46.4,48.2,19.46,140,fog,50n,Fog
75,1523766600,47.41,1005,93,46.4,48.2,16.11,120,broken clouds,04n,Clouds
76,1523768400,47.32,1004,93,46.4,48.2,17.22,120,broken clouds,04n,Clouds
77,1523775600,48.2,1003,93,48.2,48.2,23.04,140,light rain,10d,Rain
78,1523779200,49.12,1002,93,48.2,50.0,23.04,140,light intensity driz,09d,Drizzle
79,1523786400,49.12,1002,93,48.2,50.0,23.04,140,light intensity driz,09d,Drizzle
80,1523790000,49.12,1001,93,48.2,50.0,24.16,140,light intensity driz,09d,Drizzle
