#Bunch of data that Diarmuid saved from his command line when he deleted half of the bike data. Represents the last 4000 rows of the 400,000 that were deleted

|
| 1523365011000 |     22 | OPEN   |          20 |                    13 | 7               |
| 1523365015000 |     93 | OPEN   |          40 |                    24 | 16              |
| 1523365020000 |     91 | OPEN   |          30 |                    16 | 14              |
| 1523365023000 |     71 | OPEN   |          40 |                    33 | 7               |
| 1523365023000 |     95 | OPEN   |          40 |                    40 | 0               |
| 1523365027000 |      5 | OPEN   |          40 |                    29 | 11              |
| 1523365027000 |     34 | OPEN   |          30 |                    11 | 19              |
| 1523365029000 |      3 | OPEN   |          20 |                    18 | 1               |
| 1523365034000 |     32 | OPEN   |          30 |                    24 | 5               |
| 1523365042000 |     16 | OPEN   |          20 |                    10 | 10              |
| 1523365045000 |     72 | OPEN   |          31 |                    27 | 4               |
| 1523365046000 |      7 | OPEN   |          29 |                    28 | 1               |
| 1523365047000 |     64 | OPEN   |          40 |                    39 | 1               |
| 1523365049000 |     57 | OPEN   |          23 |                     4 | 19              |
| 1523365049000 |     67 | OPEN   |          40 |                    32 | 8               |
| 1523365049000 |    102 | OPEN   |          40 |                    19 | 21              |
| 1523365050000 |      4 | OPEN   |          20 |                    17 | 3               |
| 1523365050000 |     21 | OPEN   |          30 |                    18 | 11              |
| 1523365052000 |     38 | OPEN   |          40 |                    31 | 7               |
| 1523365052000 |     70 | OPEN   |          40 |                     6 | 34              |
| 1523365059000 |     45 | OPEN   |          30 |                    24 | 5               |
| 1523365075000 |     42 | OPEN   |          30 |                    28 | 2               |
| 1523365083000 |     49 | OPEN   |          40 |                    16 | 24              |
| 1523365092000 |      2 | OPEN   |          20 |                     8 | 12              |
| 1523365092000 |     41 | OPEN   |          20 |                     5 | 15              |
| 1523365099000 |     70 | OPEN   |          40 |                     6 | 34              |
| 1523365101000 |     92 | OPEN   |          40 |                    40 | 0               |
| 1523365108000 |     89 | OPEN   |          40 |                    20 | 20              |
| 1523365116000 |     17 | OPEN   |          20 |                    15 | 5               |
| 1523365117000 |     91 | OPEN   |          30 |                    17 | 13              |
